Date,RTGS_Vol,RTGS_Val,NEFT_Vol,NEFT_Val,AePS_Vol,AePS_Val,UPI_Vol,UPI_Val,IMPS_Vol,IMPS_Val,NACH Credit_Vol,NACH Credit_Val,NACH Debit_Vol,NACH Debit_Val,NETC_Vol,NETC_Val,BBPS_Vol,BBPS_Val,CTS_Vol,CTS_Val,CreditCard_POS_Vol,CreditCard_POS_Val,CreditCard_Ecommerce_Vol,CreditCard_Ecommerce_Val,DebitCard_POS_Vol,DebitCard_POS_Val,DebitCard_Ecommerce_Vol,DebitCard_Ecommerce_Val,PPI_POS_Vol,PPI_POS_Val,PPI_Ecommerce_Vol,PPI_Ecommerce_Val,NFS_ATM_Vol,NFS_ATM_Val,AePS_microATM_Vol,AePS_microATM_Val,Government_Securities_Clearing_Vol,Government_Securities_Clearing_Val,Forex_Clearing_Vol,Forex_Clearing_Val,Rupee_Derivatives_Vol,Rupee_Derivatives_Val,GSC_Holiday,Year,Month,Month_Name,FY
2024-04-12,11.9955,772794.926074735,281.61038,150585.481055981,0.7,20.14,4445.22,66417.2,185.14,19976.12,252.15,6396.55,28.57,4210.42,105.27,178.54,54.84,1346.05,31.47,39789.89,41.85685,1832.2028371,48.87729,3286.114041,38.4132,1077.5065760999998,17.09992,547.5848744,1.16194,20.067117000000003,1.14528,45.4789483,108.69,4876.48,32.69,862.07,0.06298,813943.2565536,0.10709,326701.2,0.00869,41410.0,False,2024,4,April,FY2024-25
2024-04-13,2.60545,30747.706278414,156.32156,30128.695964896997,0.76,22.15,4479.34,60182.59,178.53,16329.84,170.54,3331.63,11.76,755.63,115.78,193.72,47.3,963.62,,,32.305189999999996,1299.2495324,24.78493,1442.0454126000002,29.70339,800.7640344,9.74858,261.5294549,1.33167,20.0727648,1.13254,53.5686999,109.97,4798.06,33.81,897.92,,,,,,,False,2024,4,April,FY2024-25
2024-04-14,1.0357,12008.283268548,133.78666,15070.287009998,0.64,18.08,4383.94,49234.95,161.13,11387.59,0.8999999999999998,197.77,5.29,512.02,114.72,191.2,39.16,666.81,,,30.493029999999997,1190.7207546,30.92436,1471.7538274,26.60373,710.4242181000001,10.29955,247.3852269,1.1259100000000002,17.287271099999998,1.00109,36.0769745,94.77,3776.25,26.9,683.35,,,,,,,False,2024,4,April,FY2024-25
2024-04-15,12.51685,816142.46249738,311.29257,155982.666389108,0.8,22.63,4469.73,71014.73,188.28,21435.28,248.83999999999995,5911.56,121.68,11865.46,107.58,177.53,55.6,1350.27,36.88,38848.3,52.48032,2191.5234805,65.40872999999999,3746.9949251,43.998720000000006,1248.7957535,21.13105,640.3352618,1.00256,19.326847200000003,1.19597,47.42874940000001,108.4,4734.63,36.66,964.05,0.07346,808352.737,0.13787,370719.1,0.00355,24280.0,False,2024,4,April,FY2024-25
2024-04-16,11.00073,662599.039838008,259.89986,127491.814960405,0.8,22.65,4494.11,67012.58,183.98,20598.03,154.76,5809.3099999999995,22.23,3800.11,104.81,179.9,52.88,1261.86,28.17,36513.64,31.6644,1320.8478289999998,33.05805,2138.756969,30.68399,812.7413125,13.42386,411.0196881,1.29401,20.5358021,1.49715,81.4589826,106.67,4610.86,35.85,932.4,0.0726,800513.502,0.09909,276444.27999999997,0.00713,55365.0,False,2024,4,April,FY2024-25
2024-04-17,4.52409,117155.388408102,189.06856,63340.30924351701,0.79,22.49,4305.65,58079.92,176.34,16636.26,97.37,2193.06,10.25,1498.67,105.74,184.09,48.32,1084.0,5.86,12184.69,23.96198,1004.9208044,29.99296,1860.1163407,24.072139999999997,654.3095575,10.37489,309.63158569999996,1.2370100000000002,19.2820799,1.27112,61.7191085,95.68,4091.27,33.22,888.77,,,,,,,False,2024,4,April,FY2024-25
2024-04-18,11.07456,674343.758214226,280.24394,133833.75512202,0.75,21.380000000000003,4387.66,62329.77,172.14,19061.15,74.25,4884.56,18.58,3579.26,111.63,187.03,51.24,1221.04,28.4,33447.23,40.08041,1694.0635154,54.77282,3469.4984592,35.06635,952.1878346000002,16.9025,528.8339202,1.18355,19.5881869,1.19891,47.4914599,95.5,4069.13,30.11,803.42,0.06892,783760.8629999999,0.087795,279589.92,0.00718,26855.0,False,2024,4,April,FY2024-25
2024-04-19,8.64479,685151.465341646,226.31342,115970.519967253,0.62,17.12,4141.56,55920.21,157.05,17007.28,172.49,6444.85,14.02,2903.87,111.14,187.92,44.88,1077.87,18.99,28606.16,33.42196,1351.4011981,37.27718,2582.8793935,29.128009999999996,744.7098808,13.26371,402.3071359000001,1.2215200000000002,19.512189300000003,1.4446,73.6187089,86.16,3616.61,26.23,712.16,0.07562,780473.5645923,0.117515,340291.08999999997,0.00708,38722.0,False,2024,4,April,FY2024-25
2024-04-20,8.27816,213833.01620997,195.54215,76018.007628438,0.82,22.94,4447.32,63256.03,167.13,18021.21,130.09,5512.48,48.79,5227.62,117.51,191.6,46.11,1193.21,21.02,26053.4,31.73151,1248.4430146,32.052150000000005,2030.6698724,28.123050000000003,745.7372372000001,10.68707,307.52204509999996,1.25809,21.4581814,1.24415,59.8353538,103.98,4424.22,31.74,863.23,0.00176,26576.62,0.0,0.0,0.0,0.0,False,2024,4,April,FY2024-25
2024-04-21,1.07466,12323.207577551,138.73861,16085.923561789,0.78,19.9,4346.77,48472.16,152.66,11374.72,0.84,217.66000000000005,11.92,1253.3,123.39,195.73,38.29,777.29,,,31.73004,1191.5736794,30.55669,1407.2576983,25.87418,655.2444604,9.42816,232.3413565,1.08951,17.9790916,1.20178,56.0994946,91.62,3534.09,25.34,655.95,,,,,,,False,2024,4,April,FY2024-25
2024-04-22,10.26029,662889.632056336,233.44951,114651.011385181,0.77,20.2,4336.3,63466.19,169.68,19583.85,120.73,7042.46,38.13,3382.81,112.52,179.66,48.01,1274.87,22.68,26848.77,54.58832,2241.9142696,60.75887,4428.3441931,42.30361,1134.8345592,18.39186,594.4205882,1.00637,20.2294271,1.06385,42.1234998,95.7,3989.77,29.49,790.8,0.07253,801934.692,0.109525,353579.66,0.00633,31260.0,False,2024,4,April,FY2024-25
2024-04-23,9.27929,557034.3518380809,225.10946,110429.668975696,0.74,19.06,4232.23,59888.22,165.19,18521.15,137.02,8809.09,9.68,2727.19,110.2,182.67,45.05,1193.57,20.73,27246.1,32.13599,1398.8007011999998,40.10268000000001,2678.546917,29.524679999999996,752.6672337,12.87866,426.2847112,1.17608,20.9043946,1.4587200000000002,79.028733,91.16,3740.79,28.24,754.28,0.07242,784273.4612922,0.091505,334730.85,0.00755,31675.725,False,2024,4,April,FY2024-25
2024-04-24,9.33336,630648.733582401,227.87614,116191.0117026,0.76,19.4,4296.9,62462.96,168.43,19043.67,203.49,7591.69,9.45,2509.88,111.28,186.28,43.86,1200.16,19.33,25699.84,32.70467,1419.1069863,40.71976,2765.3148616,29.65589,757.8213611,12.74514,435.95809039999995,1.07151,19.2478312,1.40062,74.7697388,92.91,3806.82,28.23,753.33,0.08074,782533.146,0.12106,345730.17000000004,0.00459,20440.0,False,2024,4,April,FY2024-25
2024-04-25,9.59382,638664.427660407,224.69247,127832.708119519,0.8,20.12,4316.85,62066.2,168.88,19851.12,116.94,10806.74,38.56,4441.7,110.76,188.91,45.98,1297.36,20.19,25406.27,32.4244,1426.9870945000002,39.48787,2651.876217,29.51688,758.3205423,12.97792,440.2259892999999,1.28303,18.6422596,1.4974299999999998,80.2991949,92.92,3835.24,27.96,741.21,0.06431,760433.049,0.13678,336082.3,0.00523,29395.0,False,2024,4,April,FY2024-25
2024-04-26,9.45047,658151.2459399761,221.7947,135711.48105575802,0.72,17.84,4178.7,56158.84,160.21,17990.7,68.89,7671.040000000002,12.67,3011.12,115.65,194.0,41.78,1138.44,17.06,21312.14,34.36347,1459.4294022,39.16591,2596.0866785,29.02025,730.2930616,12.57524,418.7619478,1.18709,18.878050400000003,1.32638,67.97066360000001,86.92,3524.7,24.02,628.72,0.06421,734984.503,0.127625,300979.3,0.00512,34098.869999999995,False,2024,4,April,FY2024-25
2024-04-27,2.72947,30659.215768622,153.58632,28977.919964909004,0.77,19.7,4373.46,56822.21,166.15,16334.58,44.75,1090.59,9.89,907.85,118.75,195.31,41.77,1072.15,,,32.636199999999995,1320.8701175,31.21382,1751.1965333,27.600909999999995,727.0737016999999,10.15675,311.11338070000005,1.15151,18.2548003,1.12984,51.106075700000005,92.15,3841.96,24.95,671.39,,,,,,,False,2024,4,April,FY2024-25
2024-04-28,1.02592,11824.42323063,136.10866,14998.340016681,0.73,16.7,4256.32,46102.79,153.77,11444.51,2.95,201.93,46.29,1846.06,119.9,196.33,35.53,782.11,,,32.085159999999995,1203.8096669999998,30.458220000000004,1387.5376913,25.75277,621.1496609,9.37534,241.5511594,0.97386,14.1732813,0.93316,38.0114003,85.34,3179.86,19.81,491.91,,,,,,,False,2024,4,April,FY2024-25
2024-04-29,13.24264,799386.8401413868,268.344,179164.56732898002,0.77,18.77,4352.25,67116.48,176.84,22447.49,180.78,15865.75,31.51,3586.23,109.4,182.35,45.59,1362.32,32.57,36172.84,53.69085,2305.7156673,60.41189,3918.3306761,40.58705,1073.0714855,18.85669,628.8093094999999,0.93333,19.7893501,1.12933,51.0636769,91.8,3901.2,25.71,694.65,0.07985,736250.298,0.11585,295826.0,0.00472,29220.0,False,2024,4,April,FY2024-25
2024-04-30,12.3986,904342.9091549661,397.56618,268344.533240638,0.78,18.99,4492.95,80573.24,195.58,27567.29,87.06,12421.36,23.31,4920.68,107.07,190.56,51.37,1745.28,24.9,29182.41,32.05047,1527.2686986,40.53988,3327.8374030999994,30.8868,793.0480151,14.60696,598.3224902000001,1.1815600000000002,18.3789,1.43528,77.9898564,105.56,4804.08,27.0,737.94,0.07887,711950.254,0.19946,1532634.53,0.00576,28155.0,False,2024,4,April,FY2024-25
